Date,MarketPrice,MinersRevenue,TradeVolume,TransctionFee,TransactionPerSec,Return
8/1/2019,10084.7,18606541.39,171671948.9,1.399390856,4.35,0.031976162
8/2/2019,10407.17,22617508.87,173753010.8,1.340394946,5.15,0.011759201
8/3/2019,10529.55,23901417.9,194052551.7,0.901117985,2.666666667,0.027068583
8/4/2019,10814.57,23105969.7,142750701.8,0.712818871,1.65,0.015318223
8/5/2019,10980.23,22256372.32,165486450.2,1.433612459,3.8,0.073564944
8/6/2019,11787.99,24239820.66,360876818.6,1.465021952,6.633333333,-0.027343084
8/7/2019,11465.67,23489547.28,385189642.3,2.237027913,3.066666667,0.04318544
8/8/2019,11960.82,22052437.23,364388175.4,2.467613594,3.733333333,0.002975548
8/9/2019,11996.41,22823177.01,211151931.5,2.246112289,4.383333333,-0.011650986
8/10/2019,11856.64,22285954.37,180122399.3,1.515855848,3.966666667,-0.048447115
8/11/2019,11282.22,22402406.23,185394290.4,1.260478962,3.466666667,0.025227305
8/12/2019,11566.84,19835024.18,104661395.1,1.946766049,3.55,-0.01561187
8/13/2019,11386.26,23339417.34,84492311.64,2.230107874,4.366666667,-0.046383975
8/14/2019,10858.12,20751478.03,193935252.6,1.688708959,3.083333333,-0.077468291
8/15/2019,10016.96,20403806.3,280655886.5,1.517866767,2.866666667,0.02847271
8/16/2019,10302.17,20175209.24,339458149.8,1.615816942,2.983333333,0.005559023
8/17/2019,10359.44,16818757.38,242929696.8,1.264808956,3.833333333,-0.013989173
8/18/2019,10214.52,16497323.4,91003712.31,1.086314222,4.65,0.010091517
8/19/2019,10317.6,22512416.21,77572050.19,1.332962836,4.866666667,0.058120105
8/20/2019,10917.26,21381940.82,171807868.3,1.51672253,4.1,-0.014353418
8/21/2019,10760.56,18133519.93,122315070.3,1.710718322,3.883333333,-0.05865494
8/22/2019,10129.4,18244786.74,236246172.9,1.681858931,3.483333333,-0.001719746
8/23/2019,10111.98,20303216.62,141841653.5,1.243818783,2.75,0.029057613
8/24/2019,10405.81,20913191.15,122936632.7,0.996801943,3.883333333,-0.025179203
8/25/2019,10143.8,20023054.22,117754910.9,0.75638002,2.5,-0.00086161
8/26/2019,10135.06,18051599.15,102865892.8,1.078617724,3.116666667,0.022221871
8/27/2019,10360.28,17790117.82,189624308.4,1.057254664,2.816666667,-0.01817808
8/28/2019,10171.95,19285143.44,102638637.4,0.999122565,4.233333333,-0.044645324
8/29/2019,9717.82,20199158.85,203978693.8,0.928415617,4.083333333,-0.024004355
8/30/2019,9484.55,19625872.03,157535719.8,0.934518519,2.65,0.009851812
